,city_name,cloudiness,country,date,humidity,lat,lon,max_temp,windspeed
168,Tshikapa,86,CD,1555778385,59,-6.42,20.79,80.52,0.74
169,Qaanaaq,56,GL,1555778895,83,77.48,-69.36,-7.68,3.31
170,Neuquen,0,AR,1555776000,36,-38.95,-68.06,62.6,2.24
171,Kutulik,16,RU,1555778895,34,53.35,102.79,32.28,7.31
172,Bilibino,13,RU,1555778895,89,68.06,166.44,-8.04,3.29
173,Ocu,99,PA,1555778878,90,7.95,-80.78,99.0,5.77
174,Kerema,49,PG,1555778896,84,-7.96,145.78,79.26,5.21
175,Katsuura,20,JP,1555778289,71,33.93,134.5,61.0,2.24
176,Cochrane,0,CL,1555778896,41,-47.25,-72.57,58.56,7.47
177,Kenai,20,US,1555778425,68,60.55,-151.26,35.01,10.29
178,Kedougou,0,SN,1555778897,13,12.56,-12.19,104.82,4.34
179,Palauig,23,PH,1555778897,70,15.44,119.9,85.2,4.16
180,Bethanien,0,NA,1555778897,15,-26.5,17.16,70.08,9.15
181,Inongo,85,CD,1555778898,61,-1.93,18.29,81.96,0.29
182,Caravelas,3,BR,1555778150,66,-17.73,-39.27,85.56,7.27
183,Ust-Kuyga,45,RU,1555778898,50,70.0,135.55,5.1,2.33
184,Ruteng,67,ID,1555778898,85,-8.61,120.46,74.58,3.31
185,Marsh Harbour,91,BS,1555778899,73,26.54,-77.06,70.98,13.29
186,Birjand,0,IR,1555776000,11,32.86,59.22,73.4,7.09
187,Martapura,90,ID,1555776000,100,-3.41,114.85,75.2,3.36
188,Abay,75,KZ,1555776000,92,49.63,72.87,28.4,6.71
189,Sitka,0,US,1555777885,33,37.17,-99.65,75.99,13.0
190,San Julian,0,SV,1555775400,47,13.7,-89.56,91.4,11.41
191,Phuket,20,TH,1555776000,74,7.89,98.4,86.0,5.82
192,Richards Bay,37,ZA,1555778901,81,-28.77,32.06,76.38,28.01
193,Aklavik,75,CA,1555776000,85,68.22,-135.01,19.4,3.36
194,Sorgun,100,TR,1555778901,85,39.81,35.19,34.8,10.09
195,Narsaq,75,GL,1555775400,44,60.91,-46.05,39.2,6.93
196,Ukiah,90,US,1555778896,67,39.15,-123.21,63.0,10.29
197,Monrovia,75,LR,1555776000,62,6.33,-10.8,89.6,9.17
198,Huilong,53,CN,1555778418,91,28.89,110.18,65.04,3.06
199,Ewa Beach,1,US,1555778589,73,21.32,-158.01,75.2,4.7
200,Hambantota,75,LK,1555773000,100,6.12,81.12,78.8,4.7
201,Bouna,79,CI,1555778903,37,9.27,-3.0,95.46,6.73
202,Sorland,100,NO,1555778904,94,67.67,12.69,43.98,29.73
203,Columbus,90,US,1555778732,87,32.46,-84.99,61.0,16.11
204,Road Town,40,VG,1555778832,54,18.42,-64.62,84.2,9.17
205,Hasaki,75,JP,1555777926,87,35.73,140.83,55.4,1.12
206,Saint Anthony,1,US,1555778714,38,43.97,-111.68,64.0,11.41
207,Paamiut,100,GL,1555778323,88,61.99,-49.67,33.0,10.63
208,Port-Gentil,20,GA,1555776000,78,-0.72,8.78,82.4,6.93
209,San Luis,0,AR,1555778225,60,-33.3,-66.34,71.01,24.47
210,Niquero,0,CU,1555778906,68,20.04,-77.58,82.14,9.71
211,Guerrero Negro,4,MX,1555778397,91,27.97,-114.04,58.38,13.91
212,Hyeres,0,FR,1555778883,48,43.12,6.14,68.0,14.99
213,Kurkino,87,RU,1555778907,41,53.42,38.66,49.02,2.55
214,Shieli,62,KZ,1555778907,42,44.18,66.74,50.28,12.55
215,Norman Wells,90,CA,1555776000,79,65.28,-126.83,26.6,8.05
216,Zabid,100,YE,1555778908,71,14.2,44.5,70.44,2.28
217,Yar-Sale,85,RU,1555778346,95,66.83,70.83,20.76,11.41
218,Iqaluit,75,CA,1555777969,71,63.75,-68.52,6.8,26.4
219,Belmonte,0,PT,1555778793,43,40.36,-7.35,73.0,5.99
220,Te Anau,59,NZ,1555778857,98,-45.41,167.72,38.94,2.68
221,Rocha,37,UY,1555778755,48,-34.48,-54.34,68.28,9.91
222,Provideniya,10,RU,1555778909,77,64.42,-173.23,3.84,4.54
223,Smirnykh,1,RU,1555778910,88,49.74,142.83,22.56,2.73
224,Helong,18,CN,1555778910,93,25.94,116.13,70.08,2.86
225,Victoria,75,BN,1555776000,83,5.28,115.24,82.4,2.24
226,Polyarnyy,75,RU,1555776000,94,69.2,33.45,44.6,4.47
227,Tual,60,ID,1555778349,78,-5.67,132.75,84.84,15.37
228,Muros,0,ES,1555778907,35,42.77,-9.06,78.01,18.34
229,Imeni Poliny Osipenko,100,RU,1555778912,88,52.42,136.49,32.46,3.47
230,Voyvozh,98,RU,1555778367,93,62.89,54.96,30.84,5.23
231,Long Branch,1,US,1555778773,43,37.88,-88.58,57.2,21.92
232,Henties Bay,27,NA,1555776128,85,-22.12,14.28,62.01,13.0
233,Mount Gambier,100,AU,1555776000,31,-37.83,140.78,75.2,14.99
234,Sao Joao da Barra,20,BR,1555776000,48,-21.64,-41.05,87.8,6.93
235,Filadelfia,14,PY,1555778320,43,-22.35,-60.04,95.1,9.73
236,Zeya,100,RU,1555778913,94,53.74,127.27,25.44,4.61
237,Lavrentiya,0,RU,1555778327,85,65.58,-170.99,-8.76,4.63
238,Balabac,81,PH,1555778914,75,7.99,117.06,84.84,12.93
239,Leningradskiy,100,RU,1555778914,93,69.38,178.42,4.56,7.72
240,Satipo,100,PE,1555778914,99,-11.26,-74.64,35.52,5.55
241,Ancud,75,CL,1555776000,81,-41.87,-73.83,50.0,5.82
242,Nantucket,90,US,1555778658,82,41.28,-70.1,66.0,21.92
243,Tongren,38,CN,1555778915,92,27.72,109.18,64.32,2.08
244,Mayo,90,CA,1555776000,42,63.59,-135.9,32.0,5.82
245,Iralaya,36,HN,1555778916,50,15.0,-83.23,88.98,6.49
246,Udimskiy,24,RU,1555778919,91,61.14,45.92,35.16,1.48
247,Flinders,88,AU,1555778407,100,-34.58,150.85,68.0,3.71
248,Huarmey,85,PE,1555778920,92,-10.07,-78.15,68.46,14.67
249,Ostrovnoy,100,RU,1555778920,97,68.05,39.51,36.96,16.37
250,Iseyin,100,NG,1555778920,52,7.97,3.6,88.8,8.86
251,Sao Filipe,0,CV,1555778328,81,14.9,-24.5,71.7,17.2
252,Bocanda,99,CI,1555778921,53,7.06,-4.5,89.7,4.27
253,Champerico,5,MX,1555775100,36,16.38,-93.6,78.8,5.82
254,Dauphin,1,CA,1555776000,47,51.15,-100.04,59.0,8.05
255,Erenhot,14,CN,1555778421,17,43.65,111.97,44.88,9.42
256,Russell,40,AR,1555776000,46,-33.01,-68.8,73.4,12.75
257,Panaba,0,MX,1555778922,39,21.28,-88.27,80.88,7.31
258,Mehamn,80,NO,1555778326,78,71.03,27.85,40.02,11.9
259,Severnoye,99,RU,1555778922,52,54.09,52.54,43.98,3.27
260,Barabai,100,ID,1555778923,98,-2.59,115.38,75.12,0.6
261,Chara,75,GR,1555775400,66,39.42,22.43,55.4,9.17
262,Yulara,90,AU,1555776180,67,-25.24,130.99,60.8,19.46
263,Cabo San Lucas,5,MX,1555778850,36,22.89,-109.91,90.0,6.93
264,Sept-Iles,75,CA,1555778593,48,50.2,-66.38,50.0,8.05
265,Caucasia,100,CO,1555778924,56,7.98,-75.2,90.06,8.03
266,Berlevag,74,NO,1555778366,84,70.86,29.09,41.46,15.79
267,Saeby,30,DK,1555778924,54,57.33,10.52,52.44,5.12
268,Frankfort,90,US,1555778779,86,38.2,-84.87,43.0,9.17
269,Canutama,100,BR,1555778925,80,-6.53,-64.38,85.56,3.27
270,Nanortalik,82,GL,1555778925,96,60.14,-45.24,31.38,9.66
271,Rochester,1,US,1555778627,44,44.02,-92.46,66.0,13.87
272,Bay Roberts,90,CA,1555778813,93,47.58,-53.28,44.01,5.82
273,Ak-Dovurak,100,RU,1555778926,71,51.17,90.6,34.44,3.87
274,Shimoda,98,JP,1555777231,91,34.7,138.93,53.01,1.01
275,Manakara,62,MG,1555778926,90,-22.14,48.01,73.86,6.51
276,Tarnalelesz,42,HU,1555778927,49,48.06,20.18,56.76,3.58
277,Quthing,99,LS,1555778927,80,-30.4,27.7,55.5,4.7
278,Coro,100,VE,1555778927,66,11.41,-69.67,84.84,26.49
279,Kulachi,2,PK,1555778927,35,31.93,70.46,78.18,4.45
280,Dolores,3,AR,1555778353,42,-36.31,-57.68,69.54,8.57
281,Dingle,39,PH,1555778384,66,11.0,122.67,76.2,5.75
282,Kaitangata,67,NZ,1555778343,86,-46.28,169.85,52.0,3.0
283,Marsa Matruh,0,EG,1555778861,69,31.35,27.25,61.44,12.95
284,Pisco,0,PE,1555778700,30,-13.71,-76.2,78.01,9.17
285,Kalmunai,100,LK,1555778929,88,7.42,81.82,78.36,5.03
286,Hofn,82,IS,1555778929,85,64.25,-15.21,33.54,14.07
